word	lemma
a	2525253
aardvark	19
aback	304
abacus	55
abaft	8
abalone	15
abandon	5355
abase	40
abashed	52
abate	359
abattoir	93
abaya	10
abbacy	20
abbe	58
abbess	61
abbey	2022
abbot	718
abbreviate	434
abc	367
abdicate	265
abdomen	835
abduct	503
abductee	6
abeam	16
abed	25
aberrant	92
aberration	187
abet	152
abettor	3
abeyance	87
abhor	229
abide	657
abiotic	8
abject	139
abjure	34
ablate	12
ablation	56
ablative	3
ablaut	2
ablaze	162
able	47760
ablution	31
abnegate	25
abnormal	1681
aboard	948
abode	177
abolish	1877
abolition	1400
abomasum	16
abominable	109
abominate	72
aborigine	405
abort	2158
abortifacient	6
abound	480
about	192168
above	25370
abracadabra	12
abraded	34
abrasion	104
abrasive	259
abreast	191
abri	15
abridge	117
abroad	3888
abrogate	125
abrupt	1672
abscess	99
abscissa	12
abscond	115
abseil	235
absence	5887
absent	2296
absentia	43
absinthe	11
absolute	9284
absolution	69
absolve	151
absorb	4234
abstain	312
abstemious	25
abstention	324
abstinence	153
abstract	3213
abstruse	44
absurd	1419
abundant	1465
abuse	5445
abut	43
abutilon	7
abuzz	6
aby	23
abysm	5
abysmal	105
abyss	175
acacia	53
academe	40
academia	103
academy	7419
acanthus	64
accademia	58
accede	237
accelerate	2578
accelerometer	4
accent	1878
accentuate	412
accept	29026
access	13895
accession	574
accessory	772
accident	9634
accipiter	8
acclaim	644
acclimate	9
acclimatise	146
accolade	197
accommodate	6541
accompany	6015
accompli	68
accomplice	264
accomplish	1478
accord	4130
accordant	3
according	17972
accordion	110
accost	87
accouchement	2
account	28709
accountable	2063
accountant	3013
accoutrement	52
accredit	552
accretion	204
accrue	798
acculturate	11
accumulate	2757
accurate	6679
accursed	33
accusative	6
accuse	7211
accustom	1102
ace	2115
acellular	4
acerbic	57
acetabulum	6
acetal	3
acetaldehyde	49
acetate	167
acetic	125
acetone	43
acetyl	68
acetylcholine	78
acetylene	20
achaemenid	8
ache	1366
achieve	21717
achillea	8
achromat	3
acid	6800
acidified	196
acidophilus	3
acidosis	32
acidotic	7
acidulous	6
acinus	2
ack	60
acknowledge	5259
acme	48
acne	137
acolyte	58
aconite	39
acorn	303
acoustic	952
acquaint	1314
acquiesce	368
acquire	7291
acquisition	3339
acquisitive	85
acquit	580
acre	2550
acrid	115
acrimony	220
acrobat	168
acromegaly	18
acronym	132
acrophobia	2
acropolis	99
across	24122
acrostic	7
acrylate	7
acrylic	395
act	71517
acta	14
acte	17
actin	98
actinian	1
actinic	10
actinomycin	52
activate	2737
active	33819
actual	32596
actuary	516
actuate	31
actus	51
acuity	60
acumen	111
acupressure	4
acupuncture	219
acute	2728
acyclic	12
acyclovir	42
acyl	32
adage	119
adagio	45
adamancy	2
adamant	439
adamantine	10
adapt	5278
adar	7
adat	4
add	47945
addendum	106
adder	104
addict	1946
addle	37
address	12316
adduce	186
adduct	100
adenine	25
adenocarcinoma	111
adenoid	33
adenoidectomy	54
adenoma	176
adenomatous	95
adenosine	53
adenovirus	33
adept	279
adequacy	892
adequate	7165
adhere	1475
adhesion	363
adhesive	423
adiabatic	25
adieu	42
adios	12
adipic	3
adipose	14
adit	16
adjacent	1630
adjective	1092
adjoin	813
adjourn	997
adjudge	104
adjudicate	584
adjunct	199
adjure	13
adjust	5699
adjutant	169
adjuvant	40
adlib	39
admass	7
administer	1957
administration	6997
administrative	3638
administrator	1493
admiral	960
admiralty	296
admire	4511
admissible	442
admission	2966
admit	11913
admix	4
admixture	24
admonish	214
admonitory	14
ado	110
adobe	253
adolescent	1312
adonai	7
adopt	10742
adore	847
adorn	558
adrenal	24
adrenalin	288
adrenaline	121
adrenergic	38
adrift	218
adroit	87
adsorb	133
adulation	116
adult	8720
adulterate	102
adultery	371
adumbrate	40
advance	12440
advantage	10604
advent	797
adventist	23
adventitious	22
adventure	3221
adverb	250
adversary	482
adverse	1768
advertise	12970
advertorial	23
advice	10334
advise	11449
advocacy	457
advocate	2700
advowson	13
adze	32
aegis	142
aeolian	27
aeon	85
aerate	143
aerial	762
aerobatic	155
aerobics	566
aerodrome	160
aerodynamic	169
aerodyne	2
aerofoil	22
aerogramme	18
aeronaut	14
aeronautics	157
aerosol	299
aerospace	781
aerostat	2
aesthete	35
aesthetic	1546
aestival	1
aestivate	3
aether	15
aetiological	42
aetiology	126
afar	153
afeard	2
afebrile	2
affable	176
affair	10443
affaires	44
affect	14586
affectation	66
affection	2261
afferent	42
affiance	10
affidavit	342
affiliate	1099
affinity	892
affirm	1718
affix	179
afflatus	4
afflict	550
affluence	207
affluent	398
afflux	1
afford	5669
afforestation	128
affray	122
affront	253
aficionado	72
afield	350
afire	17
aflame	23
aflatoxin	2
afloat	241
afoot	166
afore	229
aforesay	130
afoul	2
afraid	5607
afresh	199
africanized	9
afro	386
afrocentric	5
aft	180
after	119219
aftermath	690
afternoon	8658
again	57536
against	55331
agapanthus	6
agape	52
agar	48
agaric	2
agas	7
agate	37
agave	12
age	33083
agency	9673
agenda	2500
agent	8059
ageratum	3
agger	11
aggiornamento	6
agglomerate	60
agglutinate	34
aggrandize	58
aggravate	833
aggregate	2230
aggression	1315
aggressive	2296
aggressor	160
aggrieved	260
agha	10
aghast	152
agile	320
agist	5
agit	35
agitate	1081
agitato	4
agitprop	19
aglitter	2
aglow	39
agnate	8
agnostic	135
ago	19394
agog	25
agon	6
agonist	106
agony	1506
agora	48
agoraphobia	57
agouti	28
agraphia	4
agrarian	354
agree	40620
agri	28
agribusiness	36
agriculture	8084
agrimony	11
agro	48
agrochemical	70
agroforestry	21
agronomist	30
aground	75
ague	36
ahead	8888
ahimsa	7
ahistorical	22
ahoy	26
aid	13772
aide	525
aiglet	2
aigrette	1
aiguille	15
aikido	15
ail	611
ailanthus	1
aileron	80
aim	15332
aioli	2
air	21064
airbrush	39
aircraft	6328
airedale	42
airhead	23
airline	2218
airlock	84
airplay	16
airstrip	99
airt	4
airth	4
airwave	82
airways	848
aisle	649
aitch	28
ajar	125
ajuga	6
akademie	30
akela	4
akimbo	40
akin	411
akkadian	6
al	7017
alabaster	59
alack	6
alacrity	86
alane	1
alang	6
alanine	34
alar	19
alarm	4262
alarum	3
alas	627
alate	4
alb	19
albacore	15
albatross	95
albedo	25
albeit	1381
albescent	3
albinism	17
albino	80
albite	11
album	2630
albumen	17
albumin	233
alcalde	5
alcazar	13
alchemical	42
alchemilla	34
alchemy	177
alcohol	4538
alcove	179
aldebaran	15
aldehyde	15
alder	187
alderman	241
aldrin	10
ale	807
aleatory	3
alembic	17
alencon	6
aleph	3
alert	2254
alewife	5
alfalfa	24
alfresco	14
algae	721
algebra	352
algicide	10
alginate	8
algol	24
algorithm	787
alias	155
alibi	186
alien	2701
alight	507
align	1467
alike	1477
aliment	4
alimentary	48
alimony	31
aliphatic	6
aliquot	88
alive	4058
aliyah	1
alizarin	21
alkali	337
alkaline	431
alkaloid	53
alkalosis	8
alkane	11
alkanet	3
alky	1
alkyd	33
alkyl	38
alkylate	14
alkyne	8
all	282152
allay	219
allee	11
allege	6770
allegiance	769
allegory	312
allegretto	34
allegro	64
allele	179
allelopathic	4
allelopathy	1
allergens	33
allergy	644
alleviate	612
alley	1111
alliance	3698
alligator	117
alliterate	75
allium	16
allocate	5191
allocative	53
allodial	10
allogeneic	2
allograft	30
allometric	26
allopathic	8
allophone	57
allosaurus	8
allot	834
allotrope	13
allow	37222
alloy	438
allrounder	46
allspice	14
allude	270
allure	173
allusion	254
allusive	35
alluvial	106
ally	4325
almanac	49
almighty	384
almond	600
almoner	16
almost	30437
alms	94
almshouse	53
alnico	12
aloe	35
aloft	202
aloha	5
alone	13660
along	23546
alongside	3206
aloof	282
alopecia	15
aloud	935
alpaca	29
alpha	1281
alphabet	708
alphanumeric	87
alphanumerical	10
alpina	29
alps	979
already	33338
alright	8338
alsatian	136
alsike	4
also	123611
altar	971
alter	6460
altercation	61
alternate	1358
alternative	11997
althea	7
altho	8
although	42784
altimeter	51
altiplano	9
altitude	653
alto	240
altogether	3130
altruism	195
altruistic	149
alum	80
alumina	48
aluminium	1080
alumni	168
alveolar	87
alveoli	19
always	44467
alyssum	14
amah	10
amal	92
amalgam	142
amalgamate	701
amanita	2
amanuensis	22
amaretti	19
amarna	10
amaryllis	28
amass	262
amateur	2067
amative	9
amatory	19
amaze	3818
ambassador	1441
amber	521
ambergris	3
ambidextrous	10
ambience	381
ambiguity	1061
ambiguous	1361
ambit	183
ambition	2296
ambitious	1625
ambivalent	535
amble	208
amboyna	2
ambrosia	23
ambry	2
ambulance	1793
ambulant	19
ambulate	115
ambuscade	4
ambush	462
ameliorate	208
amen	320
amenable	326
amend	4643
amenity	787
amenorrhoea	26
ament	1
amentia	3
amerasian	1
amerce	19
americium	3
amethyst	80
amharic	10
amiable	406
amicable	293
amici	10
amicus	47
amid	1069
amide	15
amidships	20
amidst	484
amie	6
amigo	27
amine	79
amino	757
aminoglycoside	29
aminotransferase	42
amir	129
amiss	476
amity	38
amma	11
ammeter	21
ammonia	493
ammoniac	12
ammonite	49
ammonoid	36
ammunition	634
amnesia	123
amnestic	2
amnesty	1146
amnio	4
amniocentesis	56
amnion	4
amniote	5
amniotic	34
amoeba	60
amok	48
among	26895
amontillado	6
amoral	74
amorous	111
amorphous	211
amortise	59
amount	19647
amour	83
amp	961
amperage	1
ampersand	23
amphetamine	129
amphibia	7
amphibian	296
amphibole	21
amphitheatre	142
amphora	35
amphotericin	5
ampicillin	16
ample	1012
amplexus	19
amplify	1255
amplitude	457
ampoule	19
ampulla	16
amputate	204
amputee	25
amulet	62
amuse	3078
amyl	9
amyloid	66
amyotrophic	1
amytal	20
anabaptist	18
anabasis	4
anableps	4
anabolic	28
anachronism	121
anachronistic	127
anaconda	11
anadromous	1
anaemia	449
anaerobic	158
anaesthesia	169
anaesthetic	447
anaesthetise	136
anagnorisis	1
