type	freq
a	2186984
aardvark	16
aardvarks	3
aback	304
abacus	55
abaft	8
abalone	11
abalones	4
abandon	1294
abandoned	3001
abandoning	481
abandonment	491
abandons	88
abase	6
abased	6
abasement	20
abases	1
abash	2
abashed	50
abasing	7
abate	68
abated	102
abatement	137
abatements	2
abates	9
abating	41
abattoir	66
abattoirs	27
abaya	9
abayas	1
abbacies	9
abbacy	11
abbe	58
abbess	57
abbesses	4
abbey	1938
abbeys	84
abbot	599
abbots	119
abbreviate	17
abbreviated	179
abbreviating	7
abbreviation	97
abbreviations	134
abc	362
abcs	5
abdicate	45
abdicated	71
abdicates	6
abdicating	20
abdication	123
abdomen	288
abdomens	8
abdominal	539
abduct	32
abducted	169
abductee	1
abductees	5
abducting	26
abduction	226
abductions	23
abductor	13
abductors	13
abducts	1
abeam	16
abed	25
aberrance	1
aberrances	1
aberrant	90
aberration	146
aberrational	1
aberrations	40
abet	17
abets	2
abetted	85
abetting	48
abettor	1
abettors	2
abeyance	87
abhor	42
abhorred	41
abhorrence	44
abhorrences	1
abhorrent	66
abhorring	11
abhors	24
abide	306
abided	13
abides	15
abiding	323
abies	8
abilities	1334
ability	9113
abiotic	8
abject	116
abjectly	21
abjectness	2
abjure	16
abjured	12
abjures	2
abjuring	4
ablate	4
ablated	8
ablation	55
ablations	1
ablative	3
ablaut	2
ablaze	162
able	29930
abler	5
ablest	44
ablution	6
ablutions	25
ably	100
abnegate	3
abnegated	1
abnegating	1
abnegation	20
abnormal	807
abnormalities	442
abnormality	283
abnormally	149
aboard	948
abode	167
abodes	10
abolish	555
abolished	1080
abolishes	32
abolishing	210
abolition	1156
abolitionism	6
abolitionist	66
abolitionists	172
abomasum	16
abominable	87
abominably	22
abominate	3
abominated	6
abominates	1
abomination	47
abominations	15
aboriginal	214
aboriginals	24
aborigine	17
aborigines	150
abort	103
aborted	158
abortifacient	6
aborting	16
abortion	1321
abortionist	18
abortionists	15
abortions	267
abortive	250
abortively	3
aborts	7
abound	274
abounded	100
abounding	30
abounds	76
about	192168
above	25370
abracadabra	12
abrade	9
abraded	20
abrading	5
